,time/s,Battery Power Output (MW)
764,76.60131475,0.198895047
765,76.74939435,0.199608828
766,76.89425691,0.200031019
767,77.00008497,0.200246849
768,77.01801792,0.088603177
769,77.03595086,0.001501235
770,77.03632391,3.64E-12
771,77.03632391,0
772,77.07843915,0
773,77.12055439,0
774,77.19351805,0
775,77.27631273,0
776,77.38530676,0
777,77.530619,0
778,77.72734818,0
779,77.89850047,0
780,77.91051602,0
781,77.91051602,-1.25E-13
782,77.91051602,0
783,77.9570633,0
784,77.9953664,0
785,77.99838473,0
786,77.99838473,-7.01E-13
787,78.03001482,-0.075445481
788,78.06164491,-0.133718097
789,78.11968763,-0.179436459
790,78.19534125,-0.195650579
791,78.28849479,-0.1995491
792,78.41111387,-0.200207474
793,78.57809571,-0.200195396
794,78.79221543,-0.199355577
795,78.93981595,-0.199860756
796,79.03987914,-0.153153535
797,79.06098578,-0.070436585
798,79.08209242,-0.01167756
799,79.08757038,-1.73E-12
800,79.08757038,0
801,79.15367185,0
802,79.21977331,0
803,79.30945798,0
804,79.42257131,0
805,79.57663335,0
806,79.78228092,0
807,79.94281223,0
808,80.05048941,0
809,80.07625573,0
810,80.07625573,-2.28E-12
811,80.10412141,-0.057191041
812,80.13198709,-0.075566487
813,80.18771845,-0.092097276
814,80.28033611,-0.09874108
815,80.39060613,-0.09993566
816,80.54270071,-0.100038636
817,80.74691451,-0.099591994
818,80.90957885,-0.099648919
819,81.03839833,-0.090292737
820,81.09179762,-0.032629289
821,81.14519691,-0.011237176
822,81.23303211,-0.00212544
823,81.33693725,-0.000369327
824,81.47908418,-0.00015615
825,81.67219354,-0.000411555
826,81.88993457,-0.002331145
827,81.93950013,-2.18E-14
828,81.93950013,0
829,81.9871946,0
830,82.03488908,0
831,82.09142249,0
832,82.14588707,0
833,82.23905651,0
834,82.34916602,0
835,82.50131005,0
836,82.70561061,0
837,82.86820348,0
838,83.03079635,0
839,83.05704992,0
840,83.08330349,0
841,83.16415965,0
842,83.24745916,0
843,83.36111739,0
844,83.5121364,0
845,83.71417954,0
846,83.87850811,0
847,84.00423609,0
848,84.00423609,-6.82E-14
849,84.02079283,-0.040826641
850,84.03734957,-0.057563581
851,84.07046305,-0.078212026
852,84.13669001,-0.094293441
853,84.23010586,-0.099143504
854,84.3474571,-0.099987021
855,84.50835416,-0.100019253
856,84.71960974,-0.099354582
857,84.87277269,-0.09966249
858,85.02593565,-0.099858308
859,85.202953,-0.099679151
860,85.39204749,-0.098997758
861,85.56380965,-0.098680694
862,85.71164404,-0.099408345
863,85.85627761,-0.099833682
864,86.02161267,-0.095652397
865,86.04737932,-0.05953849
866,86.07314596,-0.035562859
867,86.1541725,-0.007384652
868,86.23740662,-0.001484019
869,86.35106906,-0.000281215
870,86.50205213,-0.000164832
871,86.70405333,-0.000578373
872,86.86842713,-0.000558413
873,87.03280093,-0.002440816
874,87.05917126,-0.040272984
875,87.08554159,-0.064834743
876,87.16638992,-0.092836602
877,87.24973559,-0.098722935
878,87.36344628,-0.099920225
879,87.51455452,-0.100035407
880,87.71667848,-0.099619217
881,87.88090305,-0.099642351
882,88.00471204,-0.097596661
883,88.02608674,-0.033650575
884,88.04056405,-1.16E-12
885,88.04056405,0
886,88.06193874,0
887,88.08331343,0
888,88.12606281,0
889,88.21057985,0
890,88.30539909,0
891,88.43489975,0
892,88.61067441,0
893,88.82730797,0
894,88.94811761,0
895,89.06892725,0
896,89.06943312,0
897,89.06943312,-1.42E-12
898,89.09709071,-0.098830017
899,89.12474829,-0.141982854
900,89.18006347,-0.181026978
901,89.25803545,-0.196178062
902,89.35238825,-0.199650501
903,89.47774308,-0.200217811
904,89.64848058,-0.200177951
905,89.86413977,-0.199213691
906,89.99314978,-0.200078955
907,90.04672453,-0.153856602
908,90.10029928,-0.118892119
909,90.16375565,-0.105492843
910,90.26061306,-0.101126944
911,90.38006596,-0.100395716
912,90.54485516,-0.100391882
913,90.75901837,-0.101176036
914,90.90826595,-0.10073637
915,91.05751352,-0.12032021
916,91.11249088,-0.172433101
917,91.16746824,-0.191063753
918,91.25785762,-0.198683874
919,91.36534172,-0.200097024
920,91.51305648,-0.200243178
921,91.71265882,-0.199888229
922,91.88067914,-0.199835167
923,92.004065,-0.198136338
924,92.0254008,-0.134193765
925,92.0467366,-0.0875817
926,92.11606782,-0.022206727
927,92.18663367,-0.005504892
928,92.27933287,-0.000990713
929,92.39845556,-0.000207363
930,92.56111432,-0.000187922
931,92.77319446,-0.00089955
